"Country","Both sexes","Male","Female"
"Austria","18.1","14.0","22.0"
"Belgium","6.2","3.8","8.6"
"Bulgaria","14.6","7.7","21.0"
"Croatia","8.1","4.0","11.8"
"Cyprus","6.4","3.3","9.7"
"Czechia","2.6","2.5","2.6"
"Denmark","4.5","1.9","7.0"
"Estonia","17.0","11.0","22.0"
"Finland","14.0","7.2","20.4"
"France","2.0","0.9","3.0"
"Germany","5.5","4.3","6.6"
"Greece","14.7","9.7","19.5"
"Hungary","6.7","3.6","9.4"
"Ireland","6.7","3.7","9.5"
"Italy","25.7","13.0","37.5"
"Latvia","14.3","7.2","20.2"
"Lithuania","16.8","8.0","24.0"
"Luxembourg","1.7","0.8","2.5"
"Malta","19.2","10.7","27.6"
"Netherlands","3.8","2.4","5.2"
"Poland","27.3","15.8","37.8"
"Portugal","22.5","12.6","31.7"
"Romania","14.3","7.6","20.7"
"Slovakia","14.4","8.4","20.2"
"Slovenia","55.6","42.0","69.3"
"Spain","12.6","8.0","17.1"
"Sweden","12.1","6.2","17.8"
"United Kingdom","15.1","12.0","18.0"