"Country","Beer","Wine","Spirits"
"Austria","50.4","35.5","14.0"
"Belgium","49.2","36.3","14.4"
"Bulgaria","39.3","16.5","44.1"
"Croatia","39.5","44.8","15.4"
"Cyprus","40.9","24.7","33.7"
"Czechia","53.5","20.5","26.0"
"Denmark","37.7","48.2","14.1"
"Estonia","41.2","11.1","36.8"
"Finland","46.0","17.5","24.0"
"France","18.8","56.4","23.1"
"Germany","53.6","27.8","18.6"
"Greece","28.1","47.3","24.2"
"Hungary","36.3","29.4","34.3"
"Ireland","48.1","26.1","18.7"
"Italy","23.0","65.6","11.5"
"Latvia","46.9","10.7","37.0"
"Lithuania","46.5","7.8","34.1"
"Luxembourg","36.2","42.8","21.0"
"Malta","39.4","32.7","27.2"
"Netherlands","46.8","36.4","16.9"
"Poland","55.1","9.3","35.5"
"Portugal","30.8","55.5","10.9"
"Romania","50.0","28.9","21.1"
"Slovakia","30.1","18.3","46.2"
"Slovenia","44.5","46.9","8.6"
"Spain","49.7","20.1","28.2"
"Sweden","37.0","46.6","15.1"
"United Kingdom","36.9","33.8","21.8"